transliteration,translation,source
um-ma a-na-ah-ì-lí-ma DUB ša ku-nu-ki-a bi-lá-nim-ma KÙ.BABBAR li-qí-a,Anah-ilī said: Bring me the tablet with my seal then take the silver.,sentence_word_index
ih-da-ma qá-tí i-ta-dí-a,Take care to deposit my share.,sentence_word_index
šál-ma-ni i ta-wi-ni-a wa-áš-ba-ni,"We are well, we are staying in Tawiniya.",sentence_word_index
um-ma a-na-ku-ma a-ta DUMU me-tim-ù-a-na-ku DUMU me-tí ma-lá ni-ip-tá-ša-ar šu-ma ṭup-pá-am ša ša-ba-e tù-kà-al ú-lá ší-bi-tí tí-šu-ú a-na a-ni-ú-tí ri-dá-ma mì-na-am a-qá-bi4-ma,"I said: ""You are the son of a dead man and I am the son of a dead man. Let us not litigate. If you have the tablet refering to its payment in full or you have witnesses, arraign them so that I can ..discuss with them..?""",sentence_word_index
DUMU a-šur-dUTU-ši DAM.GÀR i-šu iš-tù ITU.KAM hu-bur a-na ITU- gap -KAM i-ša-qal,If he does not pay he will add interest in accordance with the rule of the .,train_split
iš-tù ha-mu-uš-tim ša i-lí-a-lim ù im-dí-DINGIR a-na 13 ha-am-ša-tim i-ša-qú-lu,They will pay 13 ḫamuštum weeks from the week of Ili-ālim and Imdi-ilum.,sentence_word_index
um-ma ku-zi-a-ma a-na en-nam-a-šur qí-bi-ma URUDU ku-nu-ki ša šu-zu-zu ni-ip-ṭù-ur 51.5 ma-na URUDU SIG5 ni-is-ni-iq-ma URUDU SIG5 ku-nu-ki-kà ni-ip-ṭù-ur-ma 46 ma-na ni-is-ni-iq URUDU lá-mu-nam 37 ma-na ni-is-ni-iq ŠU.NÍGIN URUDU-i-kà lu SIG5 lu lá-mu-num 2 GÚ 14.5 ma-na ku-nu-ki-a ša-lim-wa-ar-dí na-áš-a-kum SÍG.HI.A lu gám-ru-ma lu ni-is-ha-tum lu mu-ṭá-ú 4 GÚ LÁ 5 ma-na iz-ku-a-am ṭup-pí ku-nu-ki-kà na-áš-ú-ni-kum,"From Kuziya to Ennam-Aššur: We broke open the copper sealed by Šu-Zuzu. We checked the copper: 51.5 minas of good copper, and we broke open the good copper under your seal and checked 46 minas; as for the bad copper we checked it and found 37 minas - total of your copper, both good and bad: 2 talents 14.5 minas; Šalim-wardī brings that to you under my seal. The wool - both expenses, import duty and deficit - has been cleared as 4 talents less 5 minas. They bring you my tablet with your seal.",original_document
šé-bi4-lá-nim 1 TÚG,Zuzuwa brings you 1 good textile.,train_split
6.83333 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er pí-lá-ah-IŠTAR DUMU a-šur-SIPA,Pilah-Ištar son of Aššur-rēʾī owes 6.83333 minas of refined silver to the merchant.,train_split
ší-tí TÚG.HI.A 20- gap,"Ten textiles big_gap , of our father he brought to Kanesh.",train_split
KIŠIB dIŠKUR-pí-la-ah DUMU a-ni-nim KIŠIB a-šur-lá-ma-sí DUMU la-qé-eb KIŠIB na-zi DUMU PUZUR4-ba-ni-ni 3 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-šur-lá-ma-sí DUMU la-qé-ep e-lá-ma i-šu iš-tù ha-muš-tim ša e-lá-ma ú zu-ba a-na 24 ha-am-ša-tim i-ša-qal šu-ma i-na u4-me-šu ma-al-ú-tim lá iš-qú-ul 1.5 GÍN.TA a-na 1 ma-na-im i-na ITU.KAM-im ṣí-ib-tám ú-ṣa-áb ITU.KAM be-el-tí-É.GAL-lim li-mu-um ša qá-té šu-hu-bu-ur 8 ma-na KÙ.BABBAR i-ṣé-er šu-li DUMU PUZUR4-a-be-eh e-lá-ma i-šu 1.5 GÍN.TA ṣí-ib-tám i-na ITU.KAM-im a-na 1 ma-na-im ú-ṣa-áb li-mu-um ša qá-té ba-zi-a DUMU šé-ep-a-lim KIŠIB DINGIR-ba-ni DUMU ib-ni-lí KIŠIB a-šur-ma-lik DUMU PUZUR4-a-šur KIŠIB i-dí-a-šur DUMU PUZUR4-a-be-eh 4 GÚ 32 ma-na URUDU ha-bu-ra-ta-am i-ṣé-er i-dí-a-šur DUMU PUZUR4-a-be-eh e-lá-ma i-šu iš-tù ha-muš-tim ša a-šur-re-ṣí a-na 14 ha-am-ša-tim i-ša-qal šu-ma lá iš-qúl ki-ma a-wa-at kà-ri-im ṣí-ib-t,"Seal of Adad-pilah, son of Anīnum, seal of Aššur-lamassī, son of Lā-qēp, seal of Nazi, son of Puzur-banini. 3 minas of refined silver Aššur-lamassī, son of Lā-qēp, owes to Elamma. He will pay within 24 months from the week of Elamma and Zuba. If he does not pay when his term is up, he will add as interest 1.5 shekel per mina per month. Month I, eponymy of the successor of Šu-hubur. 8 minas of refined silver Šuli, son of Puzur-Abeh, owes to Elamma. He will add as interest 1.5 shekel per mina per month. Eponymy of the successor of Baziya, son of Šēp-ālim. Seal of Ilī-bāni, son of Ibni-ilī, seal of Aššur-mālik, son of Puzur-Aššur, seal of Iddin-Aššur, son of Puzur-Abeh!. 4 talents 32 minas of copper from haburata Iddin-Aššur, son of Puzur-Abeh, owes to Elamma. He will pay within 14 weeks from the week of Aššur-rēṣī. If he does not pay he will add interest in conformity with the rule of the colony. Seal of Šu-Ištar, son of Ennam-Aššur, seal of Ikūn-mīšar, son of Ilī-dān, that Ikūn-mīšar, son of Ilī-dān, owes 8 shekels of refined silver to Elamma. He will pay when he returns from the City. Seal of Ididi, seal of Dudurum, seal of Aššur-nādā, seal of Aššur-dūrī. 2 minas 10 shekels of refined silver Aššur-dūrī owes to Elamma. He will pay within 8 weeks from the week of Ānah-ilī. If he does not pay he will add interest per mina in conformity with the rule of the colony. Another tablet apart from this tablet that turns up is invalid. Seal of Zuba, son of Aššur-rē'ī, seal of Šu-Ištar, son of Sūaya, seal of Balṭu-šar, son of Sukuhum. 0.5 mina of refined silver Balṭu-šar owes to Elamma. He will pay within 6 months from the week of Sukkallum and Kura. If he does not pay he will add an interest of 1.5 shekel per mina per month. Seal of Iddin-Suen, son of Itūr-ilī, seal of Nāb-Suen, son of Abī-ilī, seal of Idnāya, son of Kutaya. 12 shekels of refined silver Iddin-Suen, son of Itūr-ilī, owes to Aššur-ṭāb. From the week of Pūšu-kēn and Ennum-Bēlum, month IV, eponymy of Aššur-idī. Seal of Aššur-šamšī, son of Ilī-tūram, that Ištar-ilšu, son of Azuzaya, owes 45 shekels of refined silver to Aššur-ṭāb. From the eponymy of Ali-ahum he will add 1.5 shekel per mina, per month as interest.",original_document
